,roomTempC,pulseVoltage,numTxCycles,numTxElements,txFrequencyHz,elevAperIndex,isTxAperModulationEn,pulseRepetRate,scanRange,probePitchCm,probeRadiusCm,probeElevAperCm0,probeNumElements,probeElevFocusRangCm,volt2,temperatureC,normal_Temp,volt_norm,probeDescription_Convex,probeDescription_Linear,probeDescription_Phase,txpgWaveformStyle_0,txpgWaveformStyle_1,txpgWaveformStyle_2,txpgWaveformStyle_3,txpgWaveformStyle_4,probeId_10136142,probeId_10136143,probeId_11014154,probeId_11014543,probeId_11014552,probeId_112,probeId_11268276,probeId_11268277,probeId_11268278,probeId_11268279,probeId_11268679,probeId_11284920,probeId_11284921,probeId_11284922,probeId_11284923,probeId_11284924,probeId_11319682,probeId_11319697,probeId_11361589,probeId_11370778,probeId_11370949,probeId_11503481,probeId_11503732,probeId_11575443,probeId_11575444,probeId_11575446,probeId_11711157,probeId_11712408,probeId_128,probeId_140,probeId_142,probeId_143,probeId_146,probeId_147,probeId_148,probeId_149,probeId_1490,probeId_150,probeId_151,probeId_154,probeId_157,probeId_162,probeId_167,probeId_187,probeId_231,probeId_244,probeId_554,probeId_656
55,23.200000762939453,34.89980697631836,2.0,128,3076900.0,0,0,3851.169921875,0.0,0.021199999377131462,1.4800000190734863,0.5,128.0,1.899999976158142,1217.9965269842796,39.29999923706055,5.102345525425005,0.004189129781887186,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,23.399999618530273,34.89980697631836,2.0,128,3636400.0,0,0,2976.0,0.0,0.021199999377131462,1.4800000190734863,0.5,128.0,1.899999976158142,1217.9965269842796,38.79999923706055,6.518817076119044,0.0053520818259305105,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65,24.0,34.89980697631836,1.5,128,4000000.0,0,0,3643.5,0.0,0.021199999377131462,1.4800000190734863,0.5,128.0,1.899999976158142,1217.9965269842796,38.20000076293945,6.9896163511165,0.005738617636638559,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,21.899999618530273,61.599998474121094,4.0,32,2666700.0,0,0,809.0599975585938,0.3366590142250061,0.04764999821782112,6.230000019073486,1.399999976158142,128.0,4.880000114440918,3794.559812011721,36.70000076293945,11.340321136159487,0.0029885735626729547,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,21.600000381469727,61.599998474121094,4.0,64,2666700.0,0,0,600.9600219726562,0.3366590142250061,0.04764999821782112,6.230000019073486,1.399999976158142,128.0,4.880000114440918,3794.559812011721,36.20000076293945,15.059238318429506,0.003968639068689685,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,23.200000762939453,61.599998474121094,1.5,32,5714300.0,0,0,899.280029296875,0.13217900693416595,0.021199999377131462,1.4800000190734863,0.5,128.0,1.899999976158142,3794.559812011721,32.900001525878906,24.38988261279979,0.00642759208475074,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
81,23.899999618530273,61.599998474121094,1.5,64,5714300.0,0,0,664.1900024414062,0.13217900693416595,0.021199999377131462,1.4800000190734863,0.5,128.0,1.899999976158142,3794.559812011721,33.599998474121094,33.72528779477298,0.00888779976217932,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
85,22.200000762939453,61.599998474121094,4.0,96,2666700.0,0,0,497.2200012207031,0.3366590142250061,0.04764999821782112,6.230000019073486,1.399999976158142,128.0,4.880000114440918,3794.559812011721,36.20000076293945,18.201199003492622,0.004796656240831025,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87,23.899999618530273,61.599998474121094,1.5,96,5714300.0,0,0,546.5700073242188,0.13217900693416595,0.021199999377131462,1.4800000190734863,0.5,128.0,1.899999976158142,3794.559812011721,33.400001525878906,40.73891246416481,0.0107361365961884,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96,22.100000381469727,61.599998474121094,4.0,128,2666700.0,0,0,379.7099914550781,0.3366590142250061,0.04764999821782112,6.230000019073486,1.399999976158142,128.0,4.880000114440918,3794.559812011721,34.099998474121094,22.45134394768443,0.0059167189502757215,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
