,pulseVoltage,numTxCycles,numTxElements,txFrequencyHz,elevAperIndex,isTxAperModulationEn,txpgWaveformStyle,scanRange,pulseRepetRate,probePitchCm,probeRadiusCm,probeElevAperCm0,probeElevAperCm1,probeNumElements,probeElevFocusRangCm,probeType_C,probeType_L,probeType_P,roomTempC,energy,temperatureC,temperature_est
363,49.869998931884766,1.5,25.0,3076900.0,0.0,0.0,2.0,0.32094499468803406,2319.110107421875,0.048700001090765,6.1057000160217285,1.2999999523162842,0.0,128.0,6.0,1.0,0.0,0.0,22.799999237060547,6531.854879203145,8.900001525878906,8.168677154881307
364,61.599998474121094,4.0,16.0,3333300.0,0.0,0.0,4.0,0.4582799971103668,4496.39990234375,0.03739999979734421,4.380000114440918,1.2000000476837158,0.0,128.0,6.5,1.0,0.0,0.0,21.5,10341.037999151087,24.200000762939453,16.968900353845466
365,90.0,2.0,128.0,2857100.0,0.0,1.0,1.0,0.0,865.9000244140625,0.03139999881386757,6.177999973297119,1.2000000476837158,0.0,192.0,7.0,1.0,0.0,0.0,24.399999618530273,260106.86550619366,18.69999885559082,19.099537019092764
366,34.900001525878906,4.0,50.0,4000000.0,0.0,0.0,1.0,0.0,1974.0,0.01940000057220459,1.3250000476837158,0.6000000238418579,0.0,128.0,2.5999999046325684,1.0,0.0,0.0,22.899999618530273,74815.31746693765,26.469999313354492,24.919426803358572
367,50.43879699707031,1.5,64.0,4000000.0,0.0,0.0,1.0,0.0,9681.1796875,0.029999999329447746,0.0,0.5,0.0,128.0,1.7999999523162842,0.0,1.0,0.0,24.200000762939453,188325.9216167523,15.0,15.011001004321738
368,90.0,1.5,128.0,4000000.0,0.0,1.0,2.0,0.0,1346.22998046875,0.04809999838471413,6.230000019073486,1.399999976158142,0.0,128.0,4.880000114440918,1.0,0.0,0.0,22.600000381469727,375482.1516338688,13.899999618530273,14.798802332303937
369,93.0,1.5,86.0,3636400.0,0.0,1.0,2.0,0.0,705.969970703125,0.04839999973773956,6.079999923706055,1.2999999523162842,0.0,128.0,6.0,1.0,0.0,0.0,23.399999618530273,222620.55731197254,10.19999885559082,11.587220112787756
370,61.599998474121094,2.0,64.0,5000000.0,0.0,0.0,2.0,0.01543550007045269,629.0900268554688,0.014800000004470348,0.0,0.6000000238418579,0.0,64.0,5.5,0.0,0.0,1.0,21.299999237060547,13258.31172846657,13.10000228881836,12.845046468651484
371,45.459999084472656,3.569999933242798,64.0,1666700.0,0.0,0.0,0.0,0.0,3827.5,0.026000000536441803,0.0,1.350000023841858,0.0,64.0,7.0,0.0,0.0,1.0,22.799999237060547,251863.1785183347,14.880001068115234,13.07524351921288
372,61.599998474121094,1.0,16.0,4705900.0,0.0,1.0,3.0,0.3436470031738281,6009.6201171875,0.029999999329447746,0.0,0.5,0.0,128.0,1.7999999523162842,0.0,1.0,0.0,23.5,3990.7410375087497,2.1000003814697266,3.3027391220309052
