,Database,temperatureId,probeId,tempSSId,measDate,measSetNum,roomTempC,pulseVoltage,temperatureC,numTxCycles,numTxElements,txFrequencyHz,elevAperIndex,isTxAperModulationEn,txpgWaveformStyle,pulseRepetRate,IsSCW,scanRange,probeName,probePitchCm,probeRadiusCm,probeElevAperCm0,probeElevAperCm1,probeNumElements,probeElevFocusRangCm,probeDescription,energy,probeType_C,probeType_L,probeType_P
0,New_Trees,2,11711157,145,2022-12-07,4,23.799999237060547,35.81999969482422,32.099998474121094,2.0,86,1538500.0,0,1,1,3626.659912109375,0,0.0,C5-2v,0.04839999973773956,6.079999923706055,1.2999999523162842,0,128,6.0,Curved,224407.60203104568,1.0,0.0,0.0
1,New_Trees,3,11711157,145,2022-12-07,4,23.799999237060547,45.459999084472656,32.900001525878906,2.0,86,1538500.0,0,1,1,2407.31005859375,0,0.0,C5-2v,0.04839999973773956,6.079999923706055,1.2999999523162842,0,128,6.0,Curved,232035.2728331944,1.0,0.0,0.0
2,New_Trees,4,11711157,145,2022-12-07,4,23.799999237060547,57.709999084472656,34.099998474121094,2.0,86,1538500.0,0,1,1,1597.9200439453125,0,0.0,C5-2v,0.04839999973773956,6.079999923706055,1.2999999523162842,0,128,6.0,Curved,239986.69284538896,1.0,0.0,0.0
3,New_Trees,5,11711157,145,2022-12-07,4,23.700000762939453,73.26000213623047,35.400001525878906,2.0,86,1538500.0,0,1,1,1060.6700439453125,0,0.0,C5-2v,0.04839999973773956,6.079999923706055,1.2999999523162842,0,128,6.0,Curved,248207.92847283173,1.0,0.0,0.0
4,New_Trees,6,11711157,145,2022-12-07,4,23.600000381469727,93.0,36.599998474121094,2.0,86,1538500.0,0,1,1,704.0499877929688,0,0.0,C5-2v,0.04839999973773956,6.079999923706055,1.2999999523162842,0,128,6.0,Curved,256710.28418791495,1.0,0.0,0.0
5,New_Trees,7,11711157,145,2022-12-07,1,23.600000381469727,57.709999084472656,34.0,2.0,86,1538500.0,0,1,1,1597.9200439453125,0,0.0,C5-2v,0.04839999973773956,6.079999923706055,1.2999999523162842,0,128,6.0,Curved,239986.69284538896,1.0,0.0,0.0
6,New_Trees,8,11711157,146,2022-12-07,4,23.299999237060547,35.81999969482422,29.100000381469727,1.0,86,2000000.0,0,1,1,5463.66015625,0,0.0,C5-2v,0.04839999973773956,6.079999923706055,1.2999999523162842,0,128,6.0,Curved,194765.03367760155,1.0,0.0,0.0
7,New_Trees,9,11711157,146,2022-12-07,4,23.200000762939453,45.459999084472656,29.399999618530273,1.0,86,2000000.0,0,1,1,3553.1201171875,0,0.0,C5-2v,0.04839999973773956,6.079999923706055,1.2999999523162842,0,128,6.0,Curved,199332.42069710765,1.0,0.0,0.0
8,New_Trees,10,11711157,146,2022-12-07,4,23.100000381469727,57.709999084472656,29.899999618530273,1.0,86,2000000.0,0,1,1,2310.659912109375,0,0.0,C5-2v,0.04839999973773956,6.079999923706055,1.2999999523162842,0,128,6.0,Curved,204062.2428929007,1.0,0.0,0.0
9,New_Trees,11,11711157,146,2022-12-07,4,23.200000762939453,73.26000213623047,30.5,1.0,86,2000000.0,0,1,1,1502.6600341796875,0,0.0,C5-2v,0.04839999973773956,6.079999923706055,1.2999999523162842,0,128,6.0,Curved,208901.16806207725,1.0,0.0,0.0
10,New_Trees,12,11711157,146,2022-12-07,4,23.100000381469727,93.0,31.0,1.0,86,2000000.0,0,1,1,977.2100219726562,0,0.0,C5-2v,0.04839999973773956,6.079999923706055,1.2999999523162842,0,128,6.0,Curved,213855.52664803102,1.0,0.0,0.0
11,New_Trees,13,11711157,146,2022-12-07,1,23.100000381469727,57.709999084472656,29.899999618530273,1.0,86,2000000.0,0,1,1,2310.659912109375,0,0.0,C5-2v,0.04839999973773956,6.079999923706055,1.2999999523162842,0,128,6.0,Curved,204062.2428929007,1.0,0.0,0.0
12,New_Trees,14,11711157,147,2022-12-07,4,23.100000381469727,35.81999969482422,29.899999618530273,1.0,86,2500000.0,0,1,1,5209.0,0,0.0,C5-2v,0.04839999973773956,6.079999923706055,1.2999999523162842,0,128,6.0,Curved,190171.89319203928,1.0,0.0,0.0
13,New_Trees,15,11711157,147,2022-12-07,4,23.399999618530273,45.459999084472656,30.5,1.0,86,2500000.0,0,1,1,3395.60009765625,0,0.0,C5-2v,0.04839999973773956,6.079999923706055,1.2999999523162842,0,128,6.0,Curved,194863.84370795888,1.0,0.0,0.0
14,New_Trees,16,11711157,147,2022-12-07,4,23.399999618530273,57.709999084472656,31.200000762939453,1.0,86,2500000.0,0,1,1,2213.5,0,0.0,C5-2v,0.04839999973773956,6.079999923706055,1.2999999523162842,0,128,6.0,Curved,199725.9079053884,1.0,0.0,0.0
15,New_Trees,17,11711157,147,2022-12-07,4,23.5,73.26000213623047,31.799999237060547,1.0,86,2500000.0,0,1,1,1442.9200439453125,0,0.0,C5-2v,0.04839999973773956,6.079999923706055,1.2999999523162842,0,128,6.0,Curved,204706.50032144468,1.0,0.0,0.0
16,New_Trees,18,11711157,147,2022-12-07,4,23.700000762939453,93.0,32.29999923706055,1.0,86,2500000.0,0,1,1,940.5999755859375,0,0.0,C5-2v,0.04839999973773956,6.079999923706055,1.2999999523162842,0,128,6.0,Curved,209811.36226983968,1.0,0.0,0.0
17,New_Trees,19,11711157,147,2022-12-07,1,23.5,57.709999084472656,31.299999237060547,1.0,86,2500000.0,0,1,1,2213.5,0,0.0,C5-2v,0.04839999973773956,6.079999923706055,1.2999999523162842,0,128,6.0,Curved,199725.9079053884,1.0,0.0,0.0
